pdb,cdr_rmsd,pti_pae,tv,js,n
7q99,1.305301,3.0650665760040283,0.0564923271848129,0.0032411522131841,11
7q9a,1.755917,2.683655500411988,0.0646555170473444,0.0061741426937894,11
8dnt,2.235925,2.2258858680725098,0.13522029341403,0.0183512251505632,11
8en8,1.302022,2.7399232387542725,0.1248261608780397,0.0259219133481315,11
8enh,1.209166,2.19181489944458,0.1006301510843887,0.0229139129928183,11
8eo8,1.309609,2.20888900756836,0.1150382541985529,0.0164561551087472,11
8es9,17.912052,14.217999458312988,0.1692826783974212,0.0308848502127239,11
8f5a,3.458406,8.068840026855469,0.0555661321872392,0.0092167539212281,11
8gom,22.805682,8.365554809570312,0.0702941806152495,0.0109060530196547,11
8gon,23.857141,5.949677467346191,0.0346177737359856,0.0010264090625245,11
8i5c,4.542551,7.141587257385254,0.1189770646887733,0.0144846874145459,11
8i5d,1.886481,6.123333930969238,0.0969199312206862,0.0148454482339798,11
8wte,2.855849,8.668366432189941,0.0961007572825546,0.0144545086657433,11
8wul,3.093435,6.5446295738220215,0.1053129672912072,0.0111271139767999,11
8ye4,4.381153,7.410085201263428,0.1172386585092593,0.013348654028535,11
