pdb,cdr_rmsd,pti_pae,tv,js,n,mhc_class
8enh,1.2091660093440135,2.19181489944458,0.1680570826997355,0.0459589174982912,66.0,I
8eo8,1.309609401422598,2.20888900756836,0.1845495122852183,0.0398827346372342,66.0,I
8dnt,2.2359251612794684,2.2258858680725098,0.3026744644334289,0.0946918950110034,60.0,I
7q9b,7.372325361818235,2.6454617977142334,0.2114863514933125,0.0481163518372653,58.0,I
7q9a,1.7559167665201327,2.683655500411988,0.0931568296039358,0.0127477235048319,60.0,I
8en8,1.302021914736074,2.7399232387542725,0.1997958184995547,0.0503888093031798,66.0,I
7q99,1.3053012750151398,3.0650665760040283,0.128068990333903,0.0190788303977819,60.0,I
8gon,23.857141360759893,5.949677467346191,0.0701049249960845,0.0053648194829923,63.0,I
8i5d,1.8864813140109593,6.123333930969238,0.1480393481079702,0.0318502240562662,61.0,I
8wul,3.093434533189566,6.5446295738220215,0.2044471026489945,0.0372312879355493,63.0,I
8i5c,4.5425507808694405,7.141587257385254,0.1707480460205234,0.0361732487073206,59.0,I
8ye4,4.381153313014306,7.410085201263428,0.1600341699598009,0.0328628947650239,62.0,I
8f5a,3.4584058501560935,8.068840026855469,0.1220650023705887,0.0234277450185485,62.0,I
8gom,22.8056818240744,8.365554809570312,0.1062758480055958,0.017842458297027,63.0,I
8wte,2.855848994743418,8.668366432189941,0.1442056450381575,0.029643573970061,63.0,I
8es9,17.91205240752586,14.217999458312988,0.2682841535379942,0.0738713122427016,64.0,I
8pjg,1.5399888061370697,3.5413460731506348,,,,II
8vcx,2.1663041271237136,8.741244316101074,,,,II
8vcy,1.938021609041649,11.897765159606934,,,,II
8vd0,3.022954228403272,10.395060539245604,,,,II
8vd2,3.436769378530927,12.20193862915039,,,,II
8vq8,2.4386624675019473,6.544933319091797,,,,II
9aud,2.0405667511270216,5.048736095428467,,,,II
9yaf,2.093623472301525,5.7932305335998535,,,,II
9yag,2.008851429435756,4.5088725090026855,,,,II
27eb,22.16754058857319,17.52220916748047,,,,II
