pdb,mhc_class,mhc_1_species,replication,job_name,iptm,ptm,ranking_score
4may,II,human,true,3b589623079e33e85fb4c499ecfef275,0.7400000095367432,0.7900000214576721,0.7799999713897705
4p4k,II,human,true,b0e34267b89d4f169c8a029da03cae2d,0.8700000047683716,0.8799999952316284,0.8899999856948853
6dfs,II,mouse,true,a03ca4456e402f9f298ea1e6c69cb944,0.800000011920929,0.8199999928474426,0.8299999833106995
6mnn,II,mouse,true,c23fa3d97b9019a71bcc78f83e1125ec,0.8600000143051147,0.8799999952316284,0.8899999856948853
4grl,II,human,true,0719f50275543d7d2308a911619e7852,0.7300000190734863,0.7699999809265137,0.7699999809265137
3c60,II,mouse,true,34a2e89a1443b37f67619d8d34cd07cc,0.8600000143051147,0.8799999952316284,0.8799999952316284
6dfx,II,human,true,22db7156d2f886e235bce0725a86694b,0.8899999856948853,0.8999999761581421,0.9399999976158142
3rdt,II,mouse,true,2eb7f076c11e51d2ff53f65251a8a6cb,0.8700000047683716,0.8799999952316284,0.8899999856948853
3c5z,II,mouse,true,fc4719ead81feeb2ab9ff1d6acf12cbf,0.8799999952316284,0.8999999761581421,0.9100000262260437
6dfw,II,mouse,true,a89cd658f1f4eeaf321acb4e191e63fd,0.7900000214576721,0.8199999928474426,0.8199999928474426
3o6f,II,human,true,96b9104ef308fef91dbb9bea88fb6c9a,0.8799999952316284,0.8899999856948853,0.9100000262260437
3pl6,II,human,true,451909ad10e2f6aeb6c18ebfa4d1e67a,0.8500000238418579,0.8700000047683716,0.9100000262260437
6bga,II,mouse,true,9848c57a2301ecc2bd85803640fc29b8,0.8600000143051147,0.8600000143051147,0.9200000166893005
7q9b,I,human,false,b4a6153b3bd2df0309a16f643d9be856,0.8799999952316284,0.8899999856948853,0.8899999856948853
8vd0,II,human,false,39bf4e6e65f6b042d9340128ecd79037,0.8500000238418579,0.8700000047683716,0.8899999856948853
3tf7,I,mouse,true,6ee78427d330e161e87e21ebd2f9635d,0.8799999952316284,0.8899999856948853,0.9100000262260437
4qrp,I,human,true,127da066136f99e023c6e797c81e3dcc,0.8399999737739563,0.8700000047683716,0.8600000143051147
4ozi,II,human,true,7b65214a6de7a72f8ce8dff77b9440c3,0.7799999713897705,0.8100000023841858,0.8299999833106995
5eu6,I,human,true,42f22658c4ba6a021a22c0bd556105e7,0.8299999833106995,0.8600000143051147,0.8399999737739563
4z7w,II,human,true,f2722e04bff9231af2be5cd297ead3b5,0.8899999856948853,0.8899999856948853,0.9399999976158142
8eo8,I,human,false,58484be6ef5feee9f02e558e069f5426,0.8899999856948853,0.9100000262260437,0.8999999761581421
5wkh,I,human,true,cf6fdd724bf35261e43c37c42b092587,0.8899999856948853,0.8999999761581421,0.8999999761581421
